epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,737.753,1.0288,1.44399,1.42376,0.85943,0.74544,0.84509,0.55086,1.19121,0.95396,1.5316,0.0033304,0.0033304,0.0033304
2,1495.95,1.03139,1.05869,1.40879,0.81358,0.6374,0.74956,0.49519,1.24826,1.19139,1.65575,0.00661975,0.00661975,0.00661975
3,2252.46,1.12961,1.24559,1.4912,0.71016,0.51736,0.61483,0.36386,1.5318,1.59448,1.9257,0.00986511,0.00986511,0.00986511
4,2497.29,1.18337,1.32592,1.54978,0.80144,0.65664,0.74432,0.49426,1.2339,1.18032,1.67066,0.009802,0.009802,0.009802
5,2738.39,1.11218,1.18526,1.48824,0.81933,0.67341,0.76982,0.51983,1.21731,1.10747,1.63258,0.009736,0.009736,0.009736
6,2979.22,1.0472,1.0934,1.43386,0.85002,0.72866,0.82644,0.58385,1.12643,0.89985,1.51662,0.00967,0.00967,0.00967
7,3220.45,1.00235,1.01296,1.39711,0.87487,0.76566,0.85046,0.60205,1.07635,0.84707,1.48821,0.009604,0.009604,0.009604
8,3466.8,0.96647,0.94854,1.36639,0.88462,0.75826,0.85899,0.62793,1.02756,0.80523,1.43405,0.009538,0.009538,0.009538
9,3709.11,0.94366,0.91782,1.34274,0.92124,0.76751,0.87819,0.62604,1.0661,0.77752,1.42798,0.009472,0.009472,0.009472
10,3950.95,0.91517,0.8754,1.32457,0.92562,0.81648,0.9067,0.67326,0.96989,0.67641,1.36114,0.009406,0.009406,0.009406
11,4192.19,0.89626,0.83932,1.31316,0.92827,0.81105,0.90954,0.67897,0.93319,0.6872,1.32665,0.00934,0.00934,0.00934
12,4433.74,0.88621,0.82385,1.30041,0.92703,0.82729,0.91276,0.68732,0.93784,0.64614,1.31997,0.009274,0.009274,0.009274
13,4674.08,0.86574,0.78337,1.28286,0.92478,0.85524,0.92641,0.70817,0.90303,0.61219,1.28169,0.009208,0.009208,0.009208
14,4912.82,0.85075,0.76298,1.27039,0.94264,0.8589,0.9307,0.72616,0.87341,0.57785,1.25953,0.009142,0.009142,0.009142
15,5152.1,0.84663,0.75076,1.2632,0.94358,0.85989,0.93295,0.72629,0.86016,0.56773,1.24875,0.009076,0.009076,0.009076
16,5392.09,0.83145,0.73105,1.25286,0.94371,0.86018,0.93878,0.73414,0.84539,0.54729,1.2236,0.00901,0.00901,0.00901
17,5631.66,0.82131,0.71347,1.24376,0.94696,0.87469,0.9443,0.72604,0.85329,0.54072,1.22207,0.008944,0.008944,0.008944
18,5870.96,0.80537,0.69853,1.23639,0.95319,0.86038,0.94466,0.74084,0.82604,0.52648,1.20998,0.008878,0.008878,0.008878
19,6111.29,0.81259,0.69498,1.2372,0.95535,0.88012,0.95048,0.75432,0.82717,0.50988,1.20385,0.008812,0.008812,0.008812
20,6351.4,0.79196,0.67388,1.22172,0.95776,0.88456,0.95623,0.75927,0.80843,0.50035,1.18522,0.008746,0.008746,0.008746
21,6592.5,0.78863,0.66729,1.21953,0.9549,0.89821,0.9576,0.76153,0.80269,0.49355,1.17668,0.00868,0.00868,0.00868
22,6834.14,0.77933,0.65524,1.21587,0.95033,0.89679,0.95852,0.76775,0.79172,0.48055,1.17788,0.008614,0.008614,0.008614
23,7074.81,0.78438,0.65261,1.21346,0.95403,0.89295,0.95385,0.76926,0.79461,0.47125,1.17205,0.008548,0.008548,0.008548
24,7315.34,0.7702,0.64856,1.20544,0.96018,0.90084,0.95992,0.77004,0.79051,0.4579,1.17485,0.008482,0.008482,0.008482
25,7555.68,0.765,0.63234,1.20045,0.94772,0.91268,0.9592,0.77844,0.77918,0.44264,1.1612,0.008416,0.008416,0.008416
26,7796.11,0.76048,0.62156,1.19826,0.96558,0.91329,0.96247,0.77697,0.77131,0.43841,1.14864,0.00835,0.00835,0.00835
27,8036.28,0.75555,0.61699,1.18871,0.95446,0.90999,0.96473,0.78558,0.75768,0.44889,1.13803,0.008284,0.008284,0.008284
28,8283.54,0.74805,0.60415,1.19183,0.95579,0.91735,0.96376,0.78713,0.75969,0.43908,1.13637,0.008218,0.008218,0.008218
29,8523.9,0.74377,0.59905,1.17929,0.95962,0.91439,0.96389,0.78561,0.75517,0.42694,1.13444,0.008152,0.008152,0.008152
30,8764.21,0.73656,0.60052,1.17767,0.96584,0.9068,0.96574,0.79214,0.73743,0.42248,1.12044,0.008086,0.008086,0.008086
31,9004.51,0.72924,0.58314,1.17027,0.96639,0.91169,0.96396,0.79015,0.73935,0.41739,1.12489,0.00802,0.00802,0.00802
32,9245.2,0.72567,0.58473,1.17091,0.96861,0.91811,0.96442,0.79707,0.73179,0.41587,1.11927,0.007954,0.007954,0.007954
33,9486.58,0.72325,0.56808,1.1702,0.96719,0.91619,0.96563,0.79913,0.72953,0.41059,1.11779,0.007888,0.007888,0.007888
34,9733.41,0.71592,0.56837,1.1671,0.9575,0.92246,0.96624,0.7998,0.73204,0.41521,1.1178,0.007822,0.007822,0.007822
