epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.175,0.88031,1.49251,1.32758,0.63742,0.51481,0.60161,0.50446,0.89325,6.59652,1.27414,0.00332844,0.00332844,0.00332844
2,262.207,0.79906,0.97631,1.23907,0.56399,0.59726,0.47546,0.27542,1.11749,4.97388,1.47524,0.00659582,0.00659582,0.00659582
3,383.825,0.90346,1.09891,1.30256,0.60955,0.41529,0.46067,0.29905,1.20631,23.2446,1.66307,0.0097972,0.0097972,0.0097972
4,506.326,0.96273,1.1546,1.33994,0.55265,0.67217,0.60748,0.44673,1.14217,14.765,1.47613,0.009703,0.009703,0.009703
5,628.919,0.8958,1.05538,1.29478,0.49258,0.59244,0.53691,0.41583,0.96878,17.91,1.35685,0.009604,0.009604,0.009604
6,749.844,0.85293,0.97575,1.26819,0.7137,0.69367,0.60427,0.49898,0.87948,5.87097,1.2303,0.009505,0.009505,0.009505
7,873.119,0.80419,0.9283,1.23719,0.75868,0.72941,0.67735,0.54431,0.77654,9.67662,1.12385,0.009406,0.009406,0.009406
8,994.474,0.77523,0.88452,1.21381,0.75842,0.73356,0.72886,0.62209,0.79803,7.94941,1.16801,0.009307,0.009307,0.009307
9,1115.6,0.75078,0.84502,1.19509,0.74437,0.73649,0.75012,0.65529,0.77234,2.40927,1.14348,0.009208,0.009208,0.009208
10,1236.6,0.7222,0.81618,1.18151,0.75475,0.74164,0.75248,0.65365,0.74582,3.10077,1.10421,0.009109,0.009109,0.009109
11,1357.82,0.70331,0.77701,1.16676,0.80831,0.73894,0.80029,0.67967,0.72962,3.71062,1.11499,0.00901,0.00901,0.00901
12,1479.57,0.69165,0.76101,1.16087,0.79267,0.73538,0.73026,0.60684,0.70989,6.62399,1.07909,0.008911,0.008911,0.008911
13,1601.74,0.66609,0.73685,1.14422,0.79686,0.79176,0.81554,0.70331,0.74751,2.84837,1.11805,0.008812,0.008812,0.008812
14,1724.55,0.6612,0.7215,1.13585,0.74393,0.70814,0.75924,0.68172,0.67806,7.37813,1.03094,0.008713,0.008713,0.008713
15,1847.33,0.6454,0.69248,1.12714,0.83141,0.73195,0.78734,0.65075,0.70566,3.48654,1.07957,0.008614,0.008614,0.008614
16,1969.49,0.62874,0.67882,1.1183,0.82493,0.74238,0.80535,0.70422,0.64623,3.87858,1.00755,0.008515,0.008515,0.008515
17,2091.65,0.6234,0.66229,1.1157,0.83638,0.73846,0.82467,0.74504,0.65223,3.16805,1.00646,0.008416,0.008416,0.008416
18,2214.22,0.61487,0.65337,1.10955,0.69648,0.8258,0.69064,0.59664,0.6661,3.44999,1.01061,0.008317,0.008317,0.008317
19,2337.22,0.60359,0.63763,1.10175,0.81539,0.7474,0.80487,0.69957,0.64982,2.07358,1.01978,0.008218,0.008218,0.008218
20,2459.3,0.59643,0.62096,1.09253,0.89359,0.72114,0.79268,0.69313,0.63327,4.16851,1.00457,0.008119,0.008119,0.008119
21,2581.47,0.59047,0.61604,1.08689,0.90705,0.70079,0.84076,0.72977,0.68421,2.39969,1.03902,0.00802,0.00802,0.00802
22,2703.75,0.58055,0.60307,1.08544,0.80839,0.77361,0.85019,0.748,0.62876,5.35449,0.99112,0.007921,0.007921,0.007921
23,2826.34,0.56764,0.58237,1.07417,0.84644,0.73943,0.75334,0.66779,0.66632,2.10156,1.01971,0.007822,0.007822,0.007822
24,2948.37,0.56178,0.577,1.07011,0.83311,0.77555,0.83216,0.75484,0.58969,2.92281,0.94203,0.007723,0.007723,0.007723
25,3069.82,0.55688,0.56924,1.06941,0.8211,0.78594,0.81744,0.71486,0.63791,1.91432,1.01975,0.007624,0.007624,0.007624
26,3191.71,0.54681,0.56092,1.0607,0.79654,0.78053,0.82359,0.73972,0.60372,1.48239,0.98595,0.007525,0.007525,0.007525
27,3314.14,0.55223,0.55576,1.06442,0.83813,0.75514,0.86596,0.74933,0.61556,1.87158,0.98385,0.007426,0.007426,0.007426
28,3436.36,0.5431,0.54569,1.05771,0.82995,0.76409,0.80777,0.71879,0.61583,1.6247,0.97446,0.007327,0.007327,0.007327
29,3558.39,0.54617,0.54519,1.05952,0.83705,0.75013,0.8152,0.71214,0.62039,1.1054,0.98262,0.007228,0.007228,0.007228
30,3680.63,0.51943,0.51481,1.0469,0.83003,0.80241,0.85065,0.76559,0.56711,1.74508,0.94485,0.007129,0.007129,0.007129
31,3803.13,0.52505,0.51996,1.04752,0.82418,0.78728,0.81346,0.72785,0.57685,3.26177,0.9537,0.00703,0.00703,0.00703
32,3925.24,0.51264,0.51256,1.04096,0.86968,0.74899,0.89257,0.80668,0.58107,1.39975,0.95581,0.006931,0.006931,0.006931
33,4047.55,0.51602,0.51543,1.0457,0.86025,0.78485,0.81858,0.71576,0.56764,2.76518,0.92813,0.006832,0.006832,0.006832
34,4169.7,0.5062,0.50105,1.03465,0.84492,0.77937,0.83271,0.7487,0.56897,1.40944,0.93255,0.006733,0.006733,0.006733
35,4292.17,0.50669,0.50503,1.03667,0.83951,0.7983,0.88003,0.77496,0.57537,1.32853,0.95904,0.006634,0.006634,0.006634
36,4414.68,0.49796,0.49556,1.03325,0.86584,0.74282,0.86888,0.77995,0.57385,1.84787,0.93951,0.006535,0.006535,0.006535
37,4536.84,0.49747,0.48443,1.03071,0.86406,0.76455,0.88991,0.7923,0.58076,1.43677,0.96656,0.006436,0.006436,0.006436
38,4659.67,0.49521,0.48681,1.02446,0.89262,0.77464,0.87503,0.79165,0.55729,2.43549,0.94675,0.006337,0.006337,0.006337
39,4782.17,0.49132,0.4785,1.02338,0.90253,0.75712,0.90269,0.81051,0.55202,1.32552,0.93389,0.006238,0.006238,0.006238
40,4904.6,0.48598,0.47206,1.02332,0.84083,0.77682,0.83043,0.74952,0.56259,1.53184,0.93332,0.006139,0.006139,0.006139
41,5027.4,0.47725,0.46558,1.02061,0.78082,0.81953,0.86733,0.79449,0.53348,1.64193,0.91888,0.00604,0.00604,0.00604
42,5150.08,0.4709,0.45303,1.01385,0.86665,0.79085,0.86956,0.78223,0.53718,1.68659,0.91436,0.005941,0.005941,0.005941
43,5272.07,0.46422,0.44861,1.01063,0.80487,0.82516,0.8704,0.79623,0.50945,1.27178,0.8943,0.005842,0.005842,0.005842
44,5395.04,0.45821,0.44378,1.00527,0.85358,0.78698,0.88878,0.80935,0.48899,1.48259,0.86304,0.005743,0.005743,0.005743
45,5517.38,0.45925,0.43658,1.00423,0.87479,0.75488,0.8929,0.81085,0.50082,1.27189,0.88482,0.005644,0.005644,0.005644
46,5639.78,0.45962,0.43639,1.0059,0.85867,0.81836,0.9067,0.8313,0.49685,0.91618,0.86848,0.005545,0.005545,0.005545
47,5762.45,0.44702,0.42475,0.99909,0.91105,0.75656,0.90538,0.82158,0.49146,0.77207,0.86275,0.005446,0.005446,0.005446
48,5884.6,0.45261,0.42979,1.00513,0.85951,0.81805,0.88605,0.79156,0.48751,1.01647,0.86533,0.005347,0.005347,0.005347
49,6006.67,0.44852,0.42623,0.99727,0.83879,0.82521,0.90908,0.82435,0.49005,1.059,0.86643,0.005248,0.005248,0.005248
50,6129.02,0.44493,0.42036,0.99821,0.81996,0.81813,0.89024,0.80078,0.48764,0.9817,0.87002,0.005149,0.005149,0.005149
51,6251.11,0.44544,0.41639,0.99668,0.80896,0.83497,0.89756,0.82265,0.47911,1.01286,0.86485,0.00505,0.00505,0.00505
52,6373.05,0.4392,0.41838,0.99416,0.86322,0.78933,0.86127,0.78607,0.45616,1.38145,0.84097,0.004951,0.004951,0.004951
53,6495.25,0.43725,0.41653,0.99169,0.88478,0.82546,0.90288,0.82564,0.46656,1.34899,0.8543,0.004852,0.004852,0.004852
54,6617.5,0.42894,0.40367,0.98741,0.89624,0.78476,0.90419,0.82094,0.46377,1.295,0.84444,0.004753,0.004753,0.004753
55,6739.75,0.43097,0.40593,0.98741,0.88735,0.81565,0.9019,0.81984,0.46394,0.91118,0.84918,0.004654,0.004654,0.004654
56,6861.97,0.42429,0.39732,0.98447,0.89143,0.79884,0.89722,0.81092,0.4608,0.96329,0.8463,0.004555,0.004555,0.004555
57,6983.84,0.41735,0.39375,0.98315,0.85922,0.83208,0.90656,0.80634,0.45946,0.87527,0.84722,0.004456,0.004456,0.004456
58,7106.35,0.41911,0.39172,0.98244,0.92583,0.7887,0.91213,0.83423,0.45465,0.93153,0.85289,0.004357,0.004357,0.004357
59,7228.68,0.4095,0.38649,0.97703,0.88582,0.79723,0.90956,0.82263,0.45171,0.95499,0.85413,0.004258,0.004258,0.004258
