epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.956,0.94645,1.54209,1.29308,0.7606,0.7892,0.83662,0.6622,0.78256,0.78659,1.19581,0.00332832,0.00332832,0.00332832
2,241.851,0.91416,1.03406,1.26633,0.65082,0.65761,0.69592,0.50595,1.00363,1.17057,1.44667,0.0065957,0.0065957,0.0065957
3,357.454,1.06141,1.20545,1.36551,0.51549,0.45026,0.46216,0.28578,1.50943,1.89295,1.90139,0.00979709,0.00979709,0.00979709
4,472.744,1.14783,1.32796,1.42628,0.6716,0.5636,0.6489,0.43538,1.17303,1.32975,1.58835,0.009703,0.009703,0.009703
5,595.141,1.08066,1.205,1.37548,0.7151,0.69959,0.77853,0.57697,0.98371,1.02542,1.39732,0.009604,0.009604,0.009604
6,705.772,1.0208,1.0954,1.33068,0.73093,0.74914,0.80374,0.61156,0.89832,0.95307,1.29447,0.009505,0.009505,0.009505
7,814.73,0.96189,1.00237,1.28993,0.81747,0.79502,0.8746,0.68949,0.81829,0.75056,1.24398,0.009406,0.009406,0.009406
8,923.662,0.92496,0.93749,1.26142,0.87715,0.82407,0.91609,0.73956,0.73927,0.63139,1.17243,0.009307,0.009307,0.009307
9,1032.45,0.88691,0.88438,1.23345,0.86751,0.84428,0.91254,0.75543,0.72346,0.61993,1.15905,0.009208,0.009208,0.009208
10,1141.07,0.8562,0.8406,1.21466,0.86597,0.85666,0.91726,0.76685,0.68857,0.5792,1.13124,0.009109,0.009109,0.009109
11,1249.61,0.82292,0.78929,1.19057,0.93652,0.8319,0.93674,0.78603,0.67055,0.5525,1.11616,0.00901,0.00901,0.00901
12,1358.08,0.80111,0.7613,1.17803,0.92823,0.86903,0.94589,0.80529,0.62696,0.49601,1.07377,0.008911,0.008911,0.008911
13,1466.69,0.77816,0.73196,1.16166,0.92371,0.87424,0.94903,0.81184,0.61884,0.48822,1.07165,0.008812,0.008812,0.008812
