epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.787,1.00729,1.87764,1.35523,0.82462,0.82191,0.8755,0.6384,0.92582,0.76173,1.34163,0.00332687,0.00332687,0.00332687
2,192.716,1.05835,1.12519,1.38267,0.70878,0.57274,0.65923,0.41841,1.18428,1.52316,1.61452,0.00659427,0.00659427,0.00659427
3,283.524,1.31997,1.50658,1.57487,0.54408,0.56605,0.56525,0.30996,1.51715,2.38768,2.03265,0.00979567,0.00979567,0.00979567
4,373.779,1.46771,1.73653,1.68943,0.44673,0.40803,0.38748,0.18797,1.89804,2.15025,2.35915,0.009703,0.009703,0.009703
5,464.811,1.39216,1.60196,1.62177,0.70233,0.67667,0.73506,0.46374,1.27505,1.21872,1.70133,0.009604,0.009604,0.009604
6,554.326,1.33782,1.50381,1.58198,0.74181,0.65134,0.72397,0.45555,1.28523,1.21919,1.69929,0.009505,0.009505,0.009505
7,643.927,1.26728,1.38274,1.53352,0.73652,0.68249,0.76269,0.50367,1.17142,1.12211,1.62595,0.009406,0.009406,0.009406
8,734.342,1.22407,1.30975,1.48968,0.79861,0.71285,0.80967,0.54485,1.14262,1.02567,1.57226,0.009307,0.009307,0.009307
9,824.608,1.18365,1.24126,1.4682,0.83763,0.76923,0.84252,0.59894,1.03077,0.94517,1.45435,0.009208,0.009208,0.009208
10,914.674,1.13557,1.15031,1.43281,0.843,0.74525,0.84405,0.59837,1.06263,0.92292,1.48145,0.009109,0.009109,0.009109
11,1004.58,1.10214,1.12785,1.40682,0.80957,0.73578,0.82017,0.57229,1.13974,1.00938,1.57781,0.00901,0.00901,0.00901
12,1094.43,1.07589,1.07685,1.37906,0.83934,0.78627,0.88282,0.67329,0.88707,0.78516,1.32887,0.008911,0.008911,0.008911
13,1184.89,1.05445,1.04147,1.36943,0.87223,0.82441,0.89751,0.69949,0.85234,0.71862,1.31097,0.008812,0.008812,0.008812
14,1275.23,1.01845,1.0266,1.33896,0.87639,0.84281,0.9208,0.70873,0.8531,0.69693,1.29903,0.008713,0.008713,0.008713
15,1365.4,1.01081,0.98154,1.33676,0.81802,0.86288,0.90287,0.69386,0.87466,0.70502,1.31508,0.008614,0.008614,0.008614
16,1455.2,0.9892,0.96647,1.32297,0.89683,0.85038,0.92209,0.71659,0.82656,0.65627,1.28122,0.008515,0.008515,0.008515
17,1545.36,0.97324,0.92545,1.31381,0.89059,0.8704,0.93157,0.71038,0.84971,0.65669,1.28374,0.008416,0.008416,0.008416
18,1635.99,0.96899,0.91029,1.31097,0.88504,0.86903,0.93133,0.73493,0.78008,0.6489,1.24175,0.008317,0.008317,0.008317
19,1726.55,0.94412,0.8745,1.28751,0.8799,0.876,0.93678,0.7527,0.79015,0.60217,1.23497,0.008218,0.008218,0.008218
20,1817.25,0.93621,0.87971,1.28395,0.90285,0.89548,0.94344,0.75784,0.76128,0.57286,1.2127,0.008119,0.008119,0.008119
21,1908.39,0.9146,0.84988,1.26723,0.90798,0.89103,0.94801,0.77152,0.75069,0.55777,1.19828,0.00802,0.00802,0.00802
22,1999.09,0.89832,0.81243,1.26133,0.92633,0.89632,0.95589,0.79215,0.69864,0.52039,1.14445,0.007921,0.007921,0.007921
23,2089.88,0.88649,0.82154,1.2472,0.90737,0.90911,0.95562,0.79103,0.69569,0.50989,1.14576,0.007822,0.007822,0.007822
24,2180.86,0.87929,0.79211,1.24573,0.94347,0.89309,0.95618,0.80483,0.6663,0.49164,1.12666,0.007723,0.007723,0.007723
25,2283.54,0.86861,0.78876,1.23029,0.93702,0.90217,0.96339,0.8156,0.65849,0.4763,1.11089,0.007624,0.007624,0.007624
26,2392.89,0.85187,0.76268,1.22286,0.9252,0.9189,0.9593,0.8064,0.67937,0.48381,1.135,0.007525,0.007525,0.007525
27,2502.21,0.8564,0.76476,1.23056,0.93904,0.91443,0.96027,0.811,0.67223,0.4879,1.12916,0.007426,0.007426,0.007426
28,2610.75,0.82818,0.73185,1.20962,0.95313,0.89465,0.96357,0.82062,0.6295,0.46678,1.09961,0.007327,0.007327,0.007327
29,2722.37,0.83468,0.73093,1.21388,0.96509,0.92456,0.97355,0.83568,0.62471,0.42518,1.09831,0.007228,0.007228,0.007228
30,2832.28,0.81624,0.69971,1.19861,0.94507,0.94398,0.97492,0.83849,0.61702,0.41423,1.08329,0.007129,0.007129,0.007129
31,2946.97,0.80168,0.68912,1.19033,0.95409,0.921,0.97038,0.84202,0.59969,0.41807,1.06159,0.00703,0.00703,0.00703
32,3061.97,0.78839,0.68296,1.18198,0.94441,0.9518,0.97291,0.8409,0.60938,0.41324,1.07226,0.006931,0.006931,0.006931
33,3177.23,0.78505,0.67028,1.17924,0.96061,0.94649,0.97661,0.85468,0.57183,0.39,1.04205,0.006832,0.006832,0.006832
34,3294.67,0.77055,0.67087,1.17213,0.97236,0.94121,0.97841,0.85882,0.56775,0.37616,1.03617,0.006733,0.006733,0.006733
35,3410.53,0.77221,0.65666,1.16842,0.93511,0.94565,0.97621,0.85962,0.56496,0.38767,1.03163,0.006634,0.006634,0.006634
36,3526.59,0.76932,0.65686,1.16664,0.95692,0.94723,0.97686,0.85699,0.56641,0.38656,1.0422,0.006535,0.006535,0.006535
37,3641.96,0.75355,0.64276,1.15497,0.9709,0.94844,0.98138,0.86171,0.54102,0.37036,1.02138,0.006436,0.006436,0.006436
38,3756.59,0.75939,0.64603,1.16855,0.9774,0.94034,0.98213,0.87348,0.53356,0.35069,1.00797,0.006337,0.006337,0.006337
39,3870.49,0.73538,0.62474,1.14797,0.96915,0.95067,0.98068,0.87087,0.54028,0.35291,1.01384,0.006238,0.006238,0.006238
40,3984.43,0.73236,0.61537,1.14804,0.97665,0.94406,0.98008,0.88216,0.51699,0.35035,1.00309,0.006139,0.006139,0.006139
41,4098.79,0.73306,0.61196,1.14207,0.97497,0.94452,0.98054,0.88301,0.51293,0.34528,0.9889,0.00604,0.00604,0.00604
42,4213.38,0.73839,0.61263,1.14855,0.97104,0.95321,0.98178,0.88507,0.50664,0.32972,0.99529,0.005941,0.005941,0.005941
43,4327.63,0.70804,0.59863,1.13374,0.98211,0.94649,0.98408,0.89061,0.50153,0.33196,0.99148,0.005842,0.005842,0.005842
44,4442.6,0.699,0.57994,1.12506,0.97366,0.95806,0.98704,0.89359,0.48408,0.31578,0.97197,0.005743,0.005743,0.005743
