epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2990.28,0.60819,0.62963,1.18561,0.74033,0.58251,0.67658,0.34667,1.75491,1.23056,2.25598,0.000990365,0.000990365,0.000990365
43,3061.13,0.60261,0.62335,1.17999,0.70682,0.62182,0.67145,0.34546,1.72791,1.20083,2.24966,0.000973861,0.000973861,0.000973861
44,3133.28,0.59936,0.61374,1.17588,0.70883,0.56554,0.63696,0.32881,1.76153,1.28373,2.21342,0.000957358,0.000957358,0.000957358
45,3203.84,0.58995,0.60789,1.16823,0.71777,0.58532,0.66799,0.33942,1.75638,1.24918,2.252,0.000940855,0.000940855,0.000940855
46,3274.5,0.59109,0.60655,1.17274,0.6831,0.52429,0.58026,0.28284,1.8333,1.46312,2.33142,0.000924352,0.000924352,0.000924352
47,3345.27,0.5906,0.59518,1.16729,0.65679,0.58443,0.62763,0.3118,1.78326,1.31789,2.29471,0.000907848,0.000907848,0.000907848
48,3416.02,0.58038,0.59681,1.16351,0.70791,0.56434,0.61527,0.29615,1.84977,1.33376,2.39782,0.000891345,0.000891345,0.000891345
49,3486.63,0.57914,0.59225,1.15757,0.7051,0.5807,0.64511,0.32337,1.79022,1.29801,2.31477,0.000874842,0.000874842,0.000874842
50,3557.3,0.59578,0.58676,1.1713,0.66922,0.56781,0.60464,0.28771,1.90211,1.35703,2.40991,0.000858338,0.000858338,0.000858338
51,3628.39,0.57832,0.57152,1.15876,0.72455,0.59252,0.65821,0.32994,1.78458,1.28094,2.30426,0.000841835,0.000841835,0.000841835
52,3698.97,0.57513,0.57976,1.15706,0.72824,0.58368,0.65018,0.32881,1.8006,1.32406,2.37104,0.000825332,0.000825332,0.000825332
53,3769.77,0.57414,0.57101,1.15565,0.71055,0.61322,0.6753,0.35503,1.68091,1.21814,2.18502,0.000808828,0.000808828,0.000808828
54,3840.82,0.57012,0.55674,1.15177,0.74516,0.61372,0.69382,0.35834,1.763,1.18652,2.3148,0.000792325,0.000792325,0.000792325
55,3911.79,0.56561,0.55481,1.14689,0.71633,0.55878,0.63007,0.31074,1.84582,1.33998,2.40365,0.000775822,0.000775822,0.000775822
56,3982.65,0.56092,0.5481,1.14727,0.72404,0.60216,0.66368,0.33113,1.78018,1.23518,2.30939,0.000759318,0.000759318,0.000759318
57,4053.35,0.56662,0.56272,1.14661,0.74581,0.55783,0.65634,0.33178,1.80349,1.25173,2.33914,0.000742815,0.000742815,0.000742815
58,4124.08,0.56593,0.55264,1.14961,0.74768,0.60563,0.69168,0.36706,1.72187,1.21409,2.23758,0.000726312,0.000726312,0.000726312
